superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_harm_rate,country3,yindex,rank,post_coop_local_coop_rate,post_coop_local_harm_rate,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
20106,8,201,0,200,400,2900,1.40295978405355,Richer,0,1,4,2,0,female,15,1,-2,350,5,10,4,1,US,0,1,1,0,2,10,0.222222222222222,1.96829615567158,0.29,0.0841,0.04,225
20106,9,201,0,200,400,3300,1.51430654601397,Richest,0,1,4,2,0,female,15,1,-2,350,5,10,4,1,US,0,1,1,0,2,10,0.222222222222222,2.29312431530076,0.33,0.1089,0.04,225
20106,10,201,0,200,400,3700,1.52530848377622,Richest,0,1,4,2,0,female,15,1,-2,350,5,10,4,1,US,0,1,1,0,2,10,0.222222222222222,2.32656597067971,0.37,0.1369,0.04,225
20106,11,201,0,200,400,4100,1.62165406445453,Richest,0,1,4,2,0,female,15,1,-2,350,5,10,4,1,US,0,1,1,0,1,10,0.111111111111111,2.6297619047619,0.41,0.1681,0.04,225
20106,12,201,0,200,400,4500,1.69813749601707,Richest,0,1,1,2,0,female,15,1,-2,350,5,10,4,1,US,0,1,1,0,0,10,0,2.88367095537912,0.45,0.2025,0.04,225
20106,13,201,0,200,0,4500,1.54692707464195,Richest,0,0,1,0,0,female,15,1,-2,350,5,10,1,0,US,0,1,0,0,1,10,0.111111111111111,2.3929833742603,0.45,0.2025,0,225
20106,14,201,0,200,100,4600,1.36783655794021,Richer,0,1,1,2,0,female,15,1,-2,350,5,10,1,1,US,0,0.944444444444444,1,0,1,10,0.111111111111111,1.87097684923772,0.46,0.2116,0.01,225
20106,15,201,0,200,100,4700,1.25701541315258,Richer,0,1,2,2,0,female,15,1,-2,350,5,10,1,1,US,0.0123236805211037,0.888888888888889,1,0,4,10,0.444444444444444,1.58008774890315,0.47,0.2209,0.01,225
20108,0,201,0,200,NA,200,-0.316227766016838,Middle,NA,NA,3,0,NA,male,1,0,0,0,3,10,NA,NA,US,0.316227766016838,0.444444444444444,NA,NA,0,10,0,0.1,0.02,4e-04,NA,1
20108,1,201,0,200,50,250,-0.580821905236978,Poorer,1,NA,3,2,0,male,1,0,0,0,3,10,3,0.666666666666667,US,0.649153894088387,0.277777777777778,0.666666666666667,0,0,10,0,0.337354085603113,0.025,0.000625,0.005,1
20108,2,201,0,200,150,400,-0.688775755520101,Poorer,1,1,6,2,0,male,1,0,0,0,3,10,3,1,US,0.772772798876211,0.277777777777778,1,0,5,10,0.555555555555556,0.474412041392286,0.04,0.0016,0.015,1
